"Table 5. Real Per Capita Personal Income by Metropolitan Area, 2017-2018",,,,,,
," Per capita personal income
[Dollars] ",,, Real per capita personal income                                                 [Chained (2012) dollars] ,,
"Stockton, CA","42,391","44,995",6.1,"40,277","41,647",3.4
"Sumter, SC","35,768","37,304",4.3,"39,163","40,753",4.1
"Syracuse, NY","48,009","49,736",3.6,"47,170","48,040",1.8
"Tallahassee, FL","40,605","42,601",4.9,"41,290","42,524",3
"Tampa-St. Petersburg-Clearwater, FL","45,313","47,240",4.3,"43,809","44,484",1.5
"Terre Haute, IN","36,789","38,299",4.1,"40,373","41,390",2.5
"Texarkana, TX-AR","36,485","37,607",3.1,"39,937","40,694",1.9
"The Villages, FL","44,097","46,100",4.5,"44,879","45,678",1.8
"Toledo, OH","44,668","46,868",4.9,"48,667","50,339",3.4
"Topeka, KS","43,758","46,017",5.2,"46,986","48,464",3.1
"Trenton-Princeton, NJ","65,877","69,344",5.3,"57,357","59,494",3.7
"Tucson, AZ","42,133","44,028",4.5,"42,629","43,692",2.5
"Tulsa, OK","51,134","54,866",7.3,"54,085","57,091",5.6
"Tuscaloosa, AL","36,396","37,983",4.4,"39,684","40,632",2.4
"Twin Falls, ID","37,897","39,309",3.7,"39,715","40,797",2.7
"Tyler, TX","52,034","55,229",6.1,"52,996","55,560",4.8
"Urban Honolulu, HI","57,049","59,608",4.5,"43,641","44,755",2.6
"Utica-Rome, NY","42,790","44,036",2.9,"43,659","44,029",0.8
"Valdosta, GA","34,613","36,217",4.6,"40,132","40,516",1
"Vallejo, CA","48,364","51,664",6.8,"38,587","40,301",4.4
"Victoria, TX","43,469","45,968",5.7,"44,387","46,104",3.9
"Vineland-Bridgeton, NJ","38,630","40,289",4.3,"37,641","38,118",1.3
"Virginia Beach-Norfolk-Newport News, VA-NC","48,485","50,619",4.4,"47,306","48,629",2.8
"Visalia, CA","39,018","40,420",3.6,"39,229","40,004",2
"Waco, TX","39,182","40,831",4.2,"41,096","42,410",3.2
"Walla Walla, WA","44,178","46,144",4.5,"43,344","44,592",2.9
"Warner Robins, GA","40,517","41,944",3.5,"43,317","43,873",1.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV","69,298","72,483",4.6,"56,100","57,359",2.2
"Waterloo-Cedar Falls, IA","43,591","46,063",5.7,"46,067","47,919",4
"Watertown-Fort Drum, NY","45,476","46,924",3.2,"43,846","44,545",1.6
"Wausau-Weston, WI","47,260","49,373",4.5,"50,222","51,650",2.8
"Weirton-Steubenville, WV-OH","38,472","40,472",5.2,"43,455","44,854",3.2
"Wenatchee, WA","48,045","50,021",4.1,"46,686","47,085",0.9
"Wheeling, WV-OH","45,613","48,881",7.2,"50,751","53,578",5.6
"Wichita, KS","48,818","51,854",6.2,"52,118","54,536",4.6
"Wichita Falls, TX","41,395","43,527",5.2,"44,464","46,306",4.1
"Williamsport, PA","41,587","43,823",5.4,"42,723","44,306",3.7
"Wilmington, NC","41,953","43,311",3.2,"42,932","43,119",0.4
"Winchester, VA-WV","46,303","48,174",4,"47,486","48,340",1.8
"Winston-Salem, NC","43,306","44,850",3.6,"46,324","47,079",1.6
"Worcester, MA-CT","53,273","55,801",4.7,"48,797","50,366",3.2
"Yakima, WA","41,868","43,379",3.6,"42,642","43,250",1.4
"York-Hanover, PA","47,835","50,113",4.8,"47,235","48,422",2.5
"Youngstown-Warren-Boardman, OH-PA","40,496","42,443",4.8,"44,588","45,928",3
"Yuba City, CA","41,270","42,925",4,"40,387","41,489",2.7
"Yuma, AZ","35,049","35,682",1.8,"37,254","37,423",0.5
,,,,,,
Maximum ,"112,769","122,247",12.6,"103,592","114,759",10.8
Minimum,"25,451","26,410",1.2,"29,002","29,769",-2.4
Range,"87,318","95,837",11.4,"74,590","84,990",13.2
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,
Note: Per capita personal income uses Census Bureau midyear population estimates available as of March 2019.,,,,,,
